dataset,dataset_label,joint,joint_index,phase_percent,p10,p25,p50_median,p75,p90
sim,Simulation,shoulder_lift.pos,1,26,-95.23850723266602,-46.49670358657838,-16.69362646102905,8.094065918922421,36.6669001083374
sim,Simulation,shoulder_lift.pos,1,27,-90.65661582946777,-40.67362597465515,-10.621099076271058,13.280659344196314,39.643165012359646
sim,Simulation,shoulder_lift.pos,1,28,-88.76096936035157,-37.43296657562256,-5.67384629249573,18.771868305206304,41.79621926879884
sim,Simulation,shoulder_lift.pos,1,29,-87.4108129272461,-33.51032829284668,-2.51516489744187,22.10857116699218,44.00510055541993
sim,Simulation,shoulder_lift.pos,1,30,-80.36043899536133,-30.24615306854248,0.835164816677568,25.57362704277038,45.65011047363285
sim,Simulation,shoulder_lift.pos,1,31,-73.98259595489496,-28.50417586803436,6.902417647838605,30.00395587444305,50.156394100189246
sim,Simulation,shoulder_lift.pos,1,32,-67.80237222290039,-26.432527313232416,9.417142772674561,32.06065963745117,55.34346809387209
sim,Simulation,shoulder_lift.pos,1,33,-64.8947706298828,-25.46439640998841,11.256263980865475,35.02021882057189,55.93758194732668
sim,Simulation,shoulder_lift.pos,1,34,-59.19982292175293,-24.954725456237796,14.04043928146362,37.23472520828247,57.52650684356689
sim,Simulation,shoulder_lift.pos,1,35,-56.51736200332641,-22.857142305374143,14.672527313232424,38.25493965148926,58.22417854309085
sim,Simulation,shoulder_lift.pos,1,36,-55.02382398986816,-20.98461498260498,17.026812973022455,38.85098831176758,58.584266921997134
sim,Simulation,shoulder_lift.pos,1,37,-51.655823852539065,-17.813626537323014,18.64923013687134,40.55120997428894,62.31858915328979
sim,Simulation,shoulder_lift.pos,1,38,-47.04562695312499,-11.720439443588258,19.071648139953616,39.53845977783203,62.67077258300784
sim,Simulation,shoulder_lift.pos,1,39,-46.6825509262085,-7.145494399070715,20.494504928588867,38.93582326889038,63.28658918762211
sim,Simulation,shoulder_lift.pos,1,40,-46.41582389831543,-6.281318783760071,19.68351650238037,39.42417621612548,64.26022308349614
sim,Simulation,shoulder_lift.pos,1,41,-45.916659019470224,-6.064176018238061,19.868131637573242,40.67692360877993,66.28351516723637
