lag_frames,lag_ms,window_start_s,joint,bias_state_minus_action,mae,rmse,p95_abs_error,max_abs_error,normalized_rmse_by_action_range,within_2_units_rate,within_5_units_rate,window
5,166.66650772094727,0.0,wrist_roll.pos,-0.0661119753426879,0.4513321897409258,0.777065415635796,1.331439590454101,6.282196044921875,0.022149266248960794,0.9744525547445255,0.9927007299270073,all
5,166.66650772094727,0.0,gripper.pos,2.7862095553291977,3.1538963125352444,6.008261955703666,16.25362011194229,18.339081048965454,0.17175388263010677,0.7135036496350365,0.7645985401459854,all
6,199.99980926513672,0.0,shoulder_pan.pos,-0.21571348370538115,0.5395808153984969,0.792604039288717,1.5403670430183405,4.371175765991211,0.01864067094619164,0.9725776965265083,1.0,all
6,199.99980926513672,0.0,shoulder_lift.pos,2.8703669038834474,3.3480444862703083,3.9531783776191904,6.747421979904173,10.277992248535156,0.028257124026984045,0.3217550274223035,0.773308957952468,all
6,199.99980926513672,0.0,elbow_flex.pos,3.5040573247281026,3.5465499140335828,3.970921482414114,6.258731842041014,10.338955879211426,0.03326821422541041,0.20292504570383912,0.8007312614259597,all
6,199.99980926513672,0.0,wrist_flex.pos,0.8802162428442695,1.0302688103489293,1.3324119826252283,2.401036071777343,5.824668884277344,0.0254760408917296,0.9122486288848263,0.9963436928702011,all
6,199.99980926513672,0.0,wrist_roll.pos,-0.0676123777734732,0.5129555069332367,0.879704554633823,1.8553710937499994,5.624427795410156,0.025074865010001154,0.9579524680073126,0.9963436928702011,all
6,199.99980926513672,0.0,gripper.pos,2.7716472398428422,3.1962102179771366,6.021023191417418,16.253879141807555,18.339081048965454,0.1721186789384492,0.7129798903107861,0.7659963436928702,all
7,233.33311080932617,0.0,shoulder_pan.pos,-0.21363954857373849,0.7251623563823246,1.1172532332029332,2.33144474029541,7.030786514282227,0.02627585635621307,0.9212454212454212,0.9945054945054945,all
7,233.33311080932617,0.0,shoulder_lift.pos,2.8617842085523044,3.6630853665071528,4.294581624862244,7.429556846618652,11.202629089355469,0.030697457596341474,0.26556776556776557,0.7271062271062271,all
7,233.33311080932617,0.0,elbow_flex.pos,3.519643476321584,3.633489217677396,4.203038288430144,7.02031946182251,12.841031074523926,0.03521287912549921,0.2509157509157509,0.7582417582417582,all
7,233.33311080932617,0.0,wrist_flex.pos,0.8795519364185822,1.1488100093799634,1.5563135087211801,2.9380369186401367,7.804027557373047,0.029757092480069712,0.8791208791208791,0.9853479853479854,all
7,233.33311080932617,0.0,wrist_roll.pos,-0.06913982293544671,0.6201624468569353,1.2182521260042682,2.497213363647461,9.053001403808594,0.03472473507928959,0.9340659340659341,0.9853479853479854,all
7,233.33311080932617,0.0,gripper.pos,2.757303388891639,3.2740172185958962,6.059717460325118,16.330144822597504,18.339081048965454,0.17322480429873277,0.6978021978021978,0.7582417582417582,all
8,266.6664123535156,0.0,shoulder_pan.pos,-0.21108847993229507,0.9229616125242426,1.4500047355567385,3.1553968429565367,8.78902816772461,0.03410159399413189,0.8788990825688073,0.9834862385321101,all
8,266.6664123535156,0.0,shoulder_lift.pos,2.8492652649726344,4.042748304408625,4.824968810200527,8.553694915771484,13.379562377929688,0.03448863903234157,0.26605504587155965,0.653211009174312,all
8,266.6664123535156,0.0,elbow_flex.pos,3.5383133006205254,3.785691280047828,4.548432683551838,8.337428283691402,15.152676582336426,0.038106578932975345,0.27706422018348625,0.7155963302752294,all
8,266.6664123535156,0.0,wrist_flex.pos,0.8790680596587854,1.2807915888795065,1.8156135321063667,3.8272590637206925,9.493343353271484,0.03471497193862268,0.8440366972477065,0.9706422018348624,all
8,266.6664123535156,0.0,wrist_roll.pos,-0.07070480486668577,0.749304479196531,1.6189958130630422,3.2372802734374955,12.657394409179688,0.04614742671329122,0.9119266055045872,0.9743119266055046,all
8,266.6664123535156,0.0,gripper.pos,2.7428364566706738,3.3850077420199685,6.120060633617404,16.423680734634395,18.339081048965454,0.17494979138810773,0.6825688073394496,0.7486238532110092,all
9,299.9997138977051,0.0,shoulder_pan.pos,-0.20876008376260013,1.1167803320157177,1.7639052233542596,3.9367556095123315,10.195621490478516,0.041483988497361526,0.8511029411764706,0.9742647058823529,all
9,299.9997138977051,0.0,shoulder_lift.pos,2.833065506454338,4.49699379607816,5.456803657253217,9.95295867919922,16.896045684814453,0.03900496334971044,0.2665441176470588,0.5974264705882353,all
9,299.9997138977051,0.0,elbow_flex.pos,3.559824950719143,4.028170318014043,4.967489416202523,9.566075897216798,17.796353340148926,0.041617418725745044,0.2757352941176471,0.6948529411764706,all
9,299.9997138977051,0.0,wrist_flex.pos,0.8779407073469723,1.4160811305046082,2.085171010262948,4.637286758422852,10.569202423095703,0.03986897642502646,0.8088235294117647,0.9595588235294118,all
9,299.9997138977051,0.0,wrist_roll.pos,-0.0722960724550135,0.8739640712738037,2.0227086361035087,3.919934082031253,16.085968017578125,0.0576547498108281,0.8915441176470589,0.9613970588235294,all
9,299.9997138977051,0.0,gripper.pos,2.7283000909887694,3.5188538479235243,6.20192372877044,16.427098059654238,18.448228359222412,0.17728995307551626,0.6580882352941176,0.7316176470588235,all
10,333.33301544189453,0.0,shoulder_pan.pos,-0.20635788935763183,1.2985875015430028,2.0822872322270527,4.871431970596311,13.360456466674805,0.04897178059581102,0.8084714548802947,0.9521178637200737,all
10,333.33301544189453,0.0,shoulder_lift.pos,2.796382415964239,5.0092570814089665,6.109262859673158,10.861066579818726,26.126811981201172,0.04366870954181393,0.2430939226519337,0.5340699815837937,all
10,333.33301544189453,0.0,elbow_flex.pos,3.590213157579605,4.29525449476848,5.430458900714434,10.897721862792968,19.966099739074707,0.04549615771838974,0.26151012891344383,0.6887661141804788,all
10,333.33301544189453,0.0,wrist_flex.pos,0.8734146841762255,1.5458785807010658,2.366131303699293,5.674344253540033,11.545848846435547,0.045241005510530376,0.7845303867403315,0.9410681399631676,all
10,333.33301544189453,0.0,wrist_roll.pos,-0.0733254645191284,0.9987861394443126,2.4263008049051087,4.5308532714843714,21.096954345703125,0.0691586338119814,0.8802946593001841,0.9502762430939227,all
10,333.33301544189453,0.0,gripper.pos,2.713111545389748,3.665395091581081,6.319899872914348,16.43051538467407,20.30263090133667,0.18066245263759173,0.6408839779005525,0.7255985267034991,all
11,366.666316986084,0.0,shoulder_pan.pos,-0.20363893824529825,1.47935178864926,2.3666206201096265,5.623777914047217,13.360456466674805,0.05565880824115496,0.7785977859778598,0.9354243542435424,all
